phage,host,hom16_frac_kmers,hom16_cov_frac,hom16_log_shared,hom16_longest_frac,hom20_frac_kmers,hom20_cov_frac,hom20_log_shared,hom20_longest_frac,crispr_n_spacers,crispr_n_hits,crispr_best_frac,crispr_has_hit,prot_frac_kmers,prot_cov_frac,prot_log_shared,prot_longest_frac
nc 001341,acholeplasma laidlawii,0.007819481680071492,0.0779336450679136,3.58351893845611,0.004676018704074816,0.00022361359570661896,0.00445335114673792,0.6931471805599453,0.00445335114673792,0.0,0.0,0.0,0.0,0.004246284501061571,0.024439918533604887,1.9459101490553132,0.005344021376085505
nc 001447,acholeplasma laidlawii,0.011380753138075314,0.09427496865858755,4.919980925828125,0.00384454659423318,0.0025950108823037,0.007354784788967823,3.4657359027997265,0.00384454659423318,0.0,0.0,0.0,0.0,0.0035863717872086074,0.017523364485981307,2.5649493574615367,0.0020060180541624875
nc 023556,achromobacter xylosoxidans,0.011809608098016981,0.10157751386027734,6.75110146893676,0.0003732942526510805,0.0002627575715668649,0.003152262577942457,2.995732273553991,0.000317991400406476,436.0,0.0,0.0,0.0,0.0455684504238719,0.19769027602755096,7.84971375760487,0.0006221742917582645
nc 028695,achromobacter xylosoxidans,0.013860065223836348,0.11363018942481046,6.331501849893691,0.0006668148477439431,0.000395335046451868,0.00414907016374009,2.833213344056216,0.0006174211553184658,436.0,0.0,0.0,0.0,0.03835227272727273,0.16282156916598003,6.698268054115413,0.0011113580795732384
nc 028768,achromobacter xylosoxidans,0.0176462303064448,0.12980247012913868,6.777646593635117,0.0007643722090356841,0.0005433142167220042,0.004063241742768637,3.332204510175204,0.0006235668021080581,436.0,0.0,0.0,0.0,0.062222342615668,0.23562283555462274,7.739794458408701,0.0014483133184478908
nc 028834,achromobacter xylosoxidans,0.017136573930001453,0.11518997843039655,6.717804695023691,0.00234362037497926,0.0009959126086685893,0.004251700680272109,3.8918202981106265,0.0005807200929152149,436.0,0.0,0.0,0.0,0.0575609756097561,0.21482590200094534,7.661527081358517,0.0027376804380288703
nc 028908,achromobacter xylosoxidans,0.010712814173877214,0.10070717473395126,6.660575149839686,0.0003020940611053896,9.614592203939236e-05,0.001400617919670443,2.0794415416798357,0.00028836251287332645,436.0,0.0,0.0,0.0,0.04392895732036737,0.1947243627741553,7.864419904994565,0.0006179196704428424
nc 029033,achromobacter xylosoxidans,0.017588274483677547,0.14756354756354756,6.675823221634848,0.0005328005328005328,0.00013325634078088216,0.002242202242202242,1.9459101490553132,0.0004662004662004662,436.0,0.0,0.0,0.0,0.05984443767819083,0.230604314618786,7.679251425953058,0.0014652014652014652
nc 029075,achromobacter xylosoxidans,0.03979098692441675,0.2702566806882427,8.08487062913819,0.00041696815099152574,0.0006010647432594882,0.008290307943243277,3.912023005428146,0.0002820666903766203,436.0,0.0,0.0,0.0,0.1111364245510587,0.3614088024139007,9.023287640806327,0.0008094186902133922
nc 029106,achromobacter xylosoxidans,0.03945020496744635,0.2625843780135005,7.805882040228621,0.00046608807457409194,0.001205768396006495,0.010703953712632594,4.330733340286331,0.00046608807457409194,436.0,0.0,0.0,0.0,0.09877228388832829,0.33542053941232103,8.678291111758565,0.0011089681774349085
nc 017984,acinetobacter baumannii,0.008367118088501681,0.08228598529760493,5.963579343618446,0.00045271304460301376,0.00012939958592132506,0.0013581391338090413,1.9459101490553132,0.00045271304460301376,23.0,0.0,0.0,0.0,0.004870247873809697,0.025410009150418807,4.219507705176107,0.0006467468632777131
nc 018087,acinetobacter baumannii,0.011573629643851396,0.11787361941843096,7.5652752818989315,0.0001859773107680863,0.0002219982240142079,0.0014758199499661042,3.6375861597263857,0.0001859773107680863,23.0,0.0,0.0,0.0,0.003794744955869149,0.02176378729349881,5.41610040220442,0.0002339728591483388
nc 019541,acinetobacter baumannii,0.21577102030915787,0.3848426064720924,9.188708071849069,0.006789524733268671,0.18158562134744735,0.2984304735032184,9.016148642611741,0.006789524733268671,23.0,0.0,0.0,0.0,0.37868554357708795,0.45180037902716363,8.671115273688494,0.022617551749222933
nc 021316,acinetobacter baumannii,0.005714963244012331,0.06514163802299396,5.488937726156687,0.0004978072774682944,7.1147369918892e-05,0.0009719094464857177,1.3862943611198906,0.0004978072774682944,23.0,0.0,0.0,0.0,0.0037058152793614596,0.024408901251738526,3.970291913552122,0.0005689495768437523
nc 023570,acinetobacter baumannii,0.005549553089087516,0.05721789931024326,5.424950017481403,0.0004909300670119541,4.911591355599214e-05,0.0009818601340239083,1.0986122886681098,0.0004909300670119541,23.0,0.0,0.0,0.0,0.004296296296296296,0.027608695652173915,4.07753744390572,0.0006627881287281833
nc 023581,acinetobacter baumannii,0.006955783843552721,0.07373508844097079,6.295266001439646,0.00025709584533113944,1.285793270158024e-05,0.00025709584533113944,0.6931471805599453,0.00025709584533113944,23.0,0.0,0.0,0.0,0.006381137789314298,0.033600731827457604,5.181783550292085,0.0006170458927882761
nc 023590,acinetobacter baumannii,0.0038340885325897525,0.045853658536585365,5.111987788356544,0.0004413472706155633,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.004781829049611476,0.02901609074122923,4.48863636973214,0.0006271777003484321
nc 024785,acinetobacter baumannii,0.007985901983091303,0.08625457140308626,5.883322388488279,0.0005128891267505129,8.923591745677636e-05,0.0005128891267505129,1.6094379124341003,0.0005128891267505129,23.0,0.0,0.0,0.0,0.0044633215751205815,0.02700816525926443,4.143134726391533,0.000602087235750602
nc 025457,acinetobacter baumannii,0.004831257768709398,0.0511089229615042,5.332718793265369,0.0005157781216298589,7.0364723818459e-05,0.0005157781216298589,1.3862943611198906,0.0005157781216298589,23.0,0.0,0.0,0.0,0.00395882818685669,0.025482625482625483,4.110873864173311,0.0005626670417780279
nc 025462,acinetobacter baumannii,0.007942636514065085,0.07931414820014038,6.675823221634848,0.00024064975433670912,0.00012034780515690345,0.0016444399879675122,2.5649493574615367,0.00022059560814198336,23.0,0.0,0.0,0.0,0.006342173939430722,0.02986217457886677,5.3471075307174685,0.0005715488975122583
nc 027332,acinetobacter baumannii,0.007416840711120167,0.07761026790261791,6.591673732008658,0.0002444738718549455,0.000163014131287506,0.001904858918203117,2.833213344056216,0.0002444738718549455,23.0,0.0,0.0,0.0,0.0037673651989639746,0.023558929909739647,4.727387818712341,0.0002750359074656969
nc 028675,acinetobacter baumannii,0.005540700055407,0.06335789625776622,5.442417710521793,0.0005057072677358763,9.636928710819862e-05,0.0010114145354717526,1.6094379124341003,0.0005057072677358763,23.0,0.0,0.0,0.0,0.004702545345972979,0.029993432095161643,4.1588830833596715,0.0006501950585175553
nc 028679,acinetobacter baumannii,0.004887227231630134,0.059309199276955396,5.303304908059076,0.00046411646880648787,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0037677304964539005,0.023974581166955517,3.9512437185814275,0.000659533929356588
