phage,host,hom16_frac_kmers,hom16_cov_frac,hom16_log_shared,hom16_longest_frac,hom20_frac_kmers,hom20_cov_frac,hom20_log_shared,hom20_longest_frac,crispr_n_spacers,crispr_n_hits,crispr_best_frac,crispr_has_hit,prot_frac_kmers,prot_cov_frac,prot_log_shared,prot_longest_frac
pg-2021 1,staphylococcus arlettae,0.018720130226992884,0.17244929189505023,7.898039690764619,0.00015302857460838598,0.00021565967511913458,0.00312317409087115,3.4657359027997265,0.00015302857460838598,210.0,0.0,0.0,0.0,0.004321044405626551,0.02518098132094021,5.241747015059643,0.00035475052690887084
pg-2021 10,staphylococcus arlettae,0.01284687625871828,0.12811599118195693,7.506042178518122,0.00016251201175739076,0.00011306701340550778,0.0015897914193657792,2.833213344056216,0.00016251201175739076,210.0,0.0,0.0,0.0,0.004175655925951702,0.02156583790619425,5.198497031265826,0.00031795828387315585
pg-2021 12,staphylococcus arlettae,0.010559982354076484,0.10761522079246817,7.334981878871814,0.00015162897767607915,6.20381603617514e-05,0.0008477438297344425,2.302585092994046,0.00015162897767607915,210.0,0.0,0.0,0.0,0.004361210877373012,0.023399117328670165,5.3230099791384085,0.0003721853483034551
pg-2021 14,staphylococcus arlettae,0.01056005514389109,0.10761596250603074,7.334981878871814,0.00015163002274450342,6.203858800173708e-05,0.0008477496726169964,2.302585092994046,0.00015163002274450342,210.0,0.0,0.0,0.0,0.004380809915589272,0.023532593995131187,5.327876168789581,0.0003721853483034551
pg-2021 15,staphylococcus arlettae,0.010594520075822851,0.10771245433868633,7.338238150065589,0.00015163002274450342,6.203858800173708e-05,0.0008477496726169964,2.302585092994046,0.00015163002274450342,210.0,0.0,0.0,0.0,0.004361210877373012,0.023399117328670165,5.3230099791384085,0.0003721853483034551
pg-2021 16,staphylococcus arlettae,0.012830311522511429,0.12652047466406266,7.503289630675082,0.0001627500513016466,0.0001203096912994862,0.0015991961562683535,2.8903717578961645,0.0001627500513016466,210.0,0.0,0.0,0.0,0.004005917833162627,0.021466072971356418,5.176149732573829,0.0003184240134162651
pg-2021 17,staphylococcus arlettae,0.012672811059907835,0.1268460588669458,7.516433302915632,0.00014485655751840024,6.898835476571554e-05,0.0011174648722848018,2.3978952727983707,0.00014485655751840024,210.0,0.0,0.0,0.0,0.003928618990544679,0.02080904891421664,5.181783550292085,0.00031041119135815243
pg-2021 18,staphylococcus arlettae,0.01326812121386742,0.1303333237302296,7.519149957669823,0.00016565353922387715,0.00012965964343598056,0.0017717726369162513,2.9444389791664403,0.00016565353922387715,210.0,0.0,0.0,0.0,0.00414782180770042,0.022145613113855846,5.181783550292085,0.00032410708498087766
pg-2021 19,staphylococcus arlettae,0.012627819468951296,0.12416036051356177,7.48605261786314,0.0001629680015871666,9.921127040031748e-05,0.0018493325397500213,2.70805020110221,0.00014879687101436952,210.0,0.0,0.0,0.0,0.0039038239730281254,0.02098414339882799,5.176149732573829,0.0003188504378879347
pg-2021 2,staphylococcus arlettae,0.012847378487848785,0.1286711713295318,7.510977752014095,0.00016171786560542246,9.845011392084611e-05,0.0013007741363914415,2.70805020110221,0.00016171786560542246,210.0,0.0,0.0,0.0,0.004223889209463359,0.022207736743914228,5.214935757608986,0.00031640896913957855
pg-2021 22,staphylococcus arlettae,0.01057775621252556,0.10755475464374827,7.3310603052186325,0.0001524812863875797,6.238692370079231e-05,0.000852509010257832,2.302585092994046,0.0001524812863875797,210.0,0.0,0.0,0.0,0.004370196551204495,0.023417681712404874,5.318119993844216,0.0003742748424926705
pg-2021 23,staphylococcus arlettae,0.018167253168540613,0.16540439257081965,7.840312983320164,0.00015733728106874924,0.00018596932936598763,0.0024959414133178858,3.295836866004329,0.00015733728106874924,210.0,0.0,0.0,0.0,0.004485645933014354,0.02605098389982111,5.278114659230517,0.0003432813405136347
pg-2021 27,staphylococcus arlettae,0.012560032433106718,0.12493081486447509,7.385230923066573,0.0001792966892476555,0.0001481365975362545,0.0017773758760202371,2.995732273553991,0.0001792966892476555,210.0,0.0,0.0,0.0,0.0035646019527819394,0.020191098818204675,4.9344739331306915,0.00030402956102808763
pg-2021 29,staphylococcus arlettae,0.013173197521948996,0.13051607509310634,7.458186157340487,0.00017481188720833016,0.00011402421874406124,0.001413696131336931,2.772588722239781,0.00017481188720833016,210.0,0.0,0.0,0.0,0.0041763573161277415,0.0216358453329435,5.123963979403259,0.00034202845676760304
pg-2021 31,staphylococcus arlettae,0.01092351388570117,0.10825522271387489,7.329093736246592,0.00016494667919305216,0.00010758858126524171,0.0014701769232424214,2.772588722239781,0.00015777508444552815,210.0,0.0,0.0,0.0,0.003687936804243404,0.021726144383725304,5.093750200806762,0.00023666602121388155
pg-2021 33,staphylococcus arlettae,0.01097639927020187,0.10861905357392436,7.30854279753919,0.00016918855696872954,0.0001103557870574733,0.0015079849642865024,2.772588722239781,0.00016183253275269782,210.0,0.0,0.0,0.0,0.003668738608216105,0.021650233995183787,5.062595033026967,0.00024275058480822704
pg-2021 35,staphylococcus arlettae,0.012673293036541208,0.12728898761656798,7.471932078245122,0.00015145723496786943,7.213237733889233e-05,0.001031351647638349,2.3978952727983707,0.00015145723496786943,210.0,0.0,0.0,0.0,0.004102053397828045,0.021320780838986572,5.159055299214529,0.0003245558993443971
pg-2021 38,staphylococcus arlettae,0.012849138176233005,0.12760314830746478,7.4999765409521215,0.0001635299721999047,0.00011377535057029895,0.0014646597510078424,2.833213344056216,0.0001635299721999047,210.0,0.0,0.0,0.0,0.004288526434195725,0.022535468272432826,5.214935757608986,0.00031995222046841005
pg-2021 4,staphylococcus arlettae,0.01418694539713648,0.13514043109079033,7.1731917424865985,0.00023949488351839756,0.00011977221502379112,0.0013607663836272589,2.4849066497880004,0.00023949488351839756,210.0,0.0,0.0,0.0,0.0039436233325331775,0.021319830773843234,4.7535901911063645,0.0004898758981058132
